s.no,customer_id,first_name,last_name,email,gender,city,state,country,signup_date
,1,Anjali,Nair,anjali.nair1@gmail.com,Female,Kolkata,West Bengal,India,09-04-2023
,2,Naveen,Verma,naveen.verma2@gmail.com,Male,Pune,Maharashtra,India,29-04-2023
,3,Amit,Verma,amit.verma3@gmail.com,Male,Hyderabad,Telangana,India,06-05-2025
,4,Karan,Verma,karan.verma4@gmail.com,Male,Chennai,Tamil Nadu,India,19-05-2025
,5,Manoj,Verma,manoj.verma5@gmail.com,Male,Bengaluru,Karnataka,India,07-05-2023
,6,Priya,Patel,priya.patel6@gmail.com,Female,Delhi,Delhi,India,30-09-2023
,7,Neha,Reddy,neha.reddy7@gmail.com,Female,Chennai,Tamil Nadu,India,30-08-2023
,8,Aishwarya,Reddy,aishwarya.reddy8@gmail.com,Female,Delhi,Delhi,India,20-01-2024
,9,Sneha,Rao,sneha.rao9@gmail.com,Female,Kolkata,West Bengal,India,09-05-2023
,10,Manoj,Patel,manoj.patel10@gmail.com,Male,Hyderabad,Telangana,India,24-12-2025
,11,Divya,Iyer,divya.iyer11@gmail.com,Female,Chennai,Tamil Nadu,India,17-07-2025
,12,Pooja,Patel,pooja.patel12@gmail.com,Female,Bengaluru,Karnataka,India,14-05-2024
,13,Manoj,Gupta,manoj.gupta13@gmail.com,Male,Chennai,Tamil Nadu,India,10-10-2025
,14,Swathi,Gupta,swathi.gupta14@gmail.com,Female,Chennai,Tamil Nadu,India,30-05-2023
,15,Naveen,Nair,naveen.nair15@gmail.com,Male,Bengaluru,Karnataka,India,01-12-2024
,16,Ajay,Nair,ajay.nair16@gmail.com,Male,Delhi,Delhi,India,08-06-2023
,17,Divya,Kumar,divya.kumar17@gmail.com,Female,Chennai,Tamil Nadu,India,14-10-2025
,18,Sneha,Verma,sneha.verma18@gmail.com,Female,Pune,Maharashtra,India,28-08-2025
,19,Amit,Gupta,amit.gupta19@gmail.com,Male,Kolkata,West Bengal,India,01-07-2025
,20,Neha,Kumar,neha.kumar20@gmail.com,Female,Delhi,Delhi,India,03-08-2025
,21,Anjali,Das,anjali.das21@gmail.com,Female,Delhi,Delhi,India,08-10-2025
,22,Karan,Gupta,karan.gupta22@gmail.com,Male,Bengaluru,Karnataka,India,22-05-2024
,23,Neha,Iyer,neha.iyer23@gmail.com,Female,Delhi,Delhi,India,07-12-2023
,24,Neha,Rao,neha.rao24@gmail.com,Female,Pune,Maharashtra,India,08-10-2023
,25,Aishwarya,Gupta,aishwarya.gupta25@gmail.com,Female,Kolkata,West Bengal,India,30-04-2025
,26,Neha,Patel,neha.patel26@gmail.com,Female,Bengaluru,Karnataka,India,19-06-2023
,27,Arjun,Patel,arjun.patel27@gmail.com,Male,Kolkata,West Bengal,India,22-04-2024
,28,Ajay,Das,ajay.das28@gmail.com,Male,Bengaluru,Karnataka,India,22-06-2024
,29,Priya,Reddy,priya.reddy29@gmail.com,Female,Hyderabad,Telangana,India,30-12-2025
,30,Deepika,Das,deepika.das30@gmail.com,Female,Pune,Maharashtra,India,15-09-2023
,31,Ajay,Rao,ajay.rao31@gmail.com,Male,Hyderabad,Telangana,India,26-03-2025
,32,Neha,Verma,neha.verma32@gmail.com,Female,Hyderabad,Telangana,India,31-03-2025
,33,Karan,Verma,karan.verma33@gmail.com,Male,Bengaluru,Karnataka,India,21-06-2025
,34,Rahul,Kumar,rahul.kumar34@gmail.com,Male,Chennai,Tamil Nadu,India,18-04-2023
